Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Survival Rate (%)
2023-09-13,30.3,53.9,1218.1,5.7,60.00431756
2023-09-14,23.9,42.5,1680.5,6.6,58.51831219
2023-09-15,33.7,89.1,821.9,6.8,46.12275028
2023-09-16,10.4,48.5,1829.3,5.2,18.26021873
2023-09-17,19.4,73.2,1170.1,6.8,79.73047283
2023-09-18,12.8,81.1,1087.4,6.8,59.11229004
2023-09-19,10.7,64.8,1999.9,7.9,37.43339815
2023-09-20,22.8,81.4,774.4,6.3,84.7715398
2023-09-21,24.7,45,773.2,5.3,64.67104829
2023-09-22,29.1,83.7,1687.8,7.9,24.33826011
2023-09-23,34.5,52.7,1638.8,5.4,36.6093514
2023-09-24,17.5,82,1483.1,5.1,73.14993225
2023-09-25,13.1,51.3,1491.4,5,62.82941564
2023-09-26,20.3,30.3,1535.7,7.3,51.86910001
2023-09-27,12.2,34.9,1979.3,7,29.4241674
2023-09-28,21.7,33.4,1092,6.7,82.27235581
2023-09-29,30.4,35.5,650,7,45.15202166
2023-09-30,22.4,44.5,731.2,5.5,63.24134816
2023-10-01,20.9,77.4,959,5.5,78.53417251
2023-10-02,23,32.6,1719.9,5.6,51.04392502
2023-10-03,14.8,46,1579.4,5.9,15.14620674
2023-10-04,20.1,69.5,1626.2,6.2,79.86296629
2023-10-05,18.8,78,596.4,6.2,82.38335264
2023-10-06,32.8,80,1423.8,6.9,46.80502887
2023-10-07,18.1,36.7,1178.6,7.2,70.24582793
2023-10-08,29,59.3,1591.5,5.3,40.01545082
2023-10-09,27.9,83.3,1975.6,5.9,11.68212412
2023-10-10,22.8,71.3,1778.6,7.8,57.9320226
2023-10-11,11.1,83.2,1449.7,5.9,42.50329184
2023-10-12,15.3,68.9,1219.4,6.8,100
2023-10-13,27.2,39.8,1819.8,6,35.8078773
2023-10-14,13.1,41.5,1559.4,7.2,15.11568987
2023-10-15,21.8,41.1,1184.3,6.2,77.88510459
2023-10-16,31.1,34.3,675.1,7.4,47.05914097
2023-10-17,27.6,61.5,1920.6,5.5,34.03476132
2023-10-18,20.9,67.4,1380,5.9,90.49618483
2023-10-19,28.3,39.6,1013.2,5.9,35.97547676
2023-10-20,33.7,35.8,932.8,7.4,35.20604975
2023-10-21,19.7,59.9,1460.6,7.2,92.60482847
2023-10-22,33.3,79.9,1404.5,7.5,30.89288848
2023-10-23,32.3,88.2,907.1,6.1,51.78443723
2023-10-24,34.9,48.3,713.2,7.7,40.23588792
2023-10-25,16.8,35.2,784.9,5.3,69.5336327
2023-10-26,13.9,67.5,1242.7,6.2,72.11505207
2023-10-27,13.4,56.9,509.5,5.7,54.19345224
2023-10-28,32.1,60.6,1884.5,6.6,48.13504127
2023-10-29,18.9,82.6,1768.7,5.8,58.641658
2023-10-30,29.6,87.2,567.3,6.2,51.24089422
2023-10-31,25.7,60.1,1127.1,7.6,64.6844398
2023-11-01,27.7,61.2,1861.7,6.8,52.81485505
2023-11-02,26.3,67,1142.5,7.8,56.8253499
2023-11-03,24.5,86.2,1988.7,6.4,52.02849369
2023-11-04,27.5,55.3,645.5,7.9,57.65319118
2023-11-05,15.2,33.9,956.2,6.9,79.94130716
2023-11-06,27.7,87.6,614.3,5.2,35.65938258
2023-11-07,32.4,60.7,1299.3,6.1,74.89572419
2023-11-08,29.8,60.2,842.3,6.1,72.40183119
2023-11-09,33.3,82.2,1374.3,5.2,39.09999553
2023-11-10,22.6,86,967.8,7.3,73.26006602
2023-11-11,30.3,74.4,789.2,7.8,41.75719835
2023-11-12,13.6,85.9,1734.2,7.9,23.18050129
2023-11-13,19.5,73,1060.6,7.2,75.42108364
2023-11-14,10.6,35.7,1823.7,5.5,19.46411897
2023-11-15,24.5,75,1993.9,6.7,59.87727622
2023-11-16,17.4,37.6,945.4,6,84.45150309
2023-11-17,33.6,67.9,1727.4,6.6,46.50789842
2023-11-18,11,43.4,1478,7.4,44.93455621
2023-11-19,18.5,45.7,1386.9,7.1,69.66588036
2023-11-20,34.8,72.1,756,7,48.43884787
2023-11-21,22.6,48.3,1858,6.7,57.72383358
2023-11-22,12.5,44.5,555,7.9,34.74557887
2023-11-23,28.4,60.9,703.3,6.3,69.674251
2023-11-24,32.2,78.8,649.7,6.9,53.15258998
2023-11-25,16.8,42.3,1085.8,8,75.81724091
2023-11-26,13.7,45.3,1218.8,6.5,42.14261458
2023-11-27,33.6,67.2,910.7,7.8,64.10266878
2023-11-28,19.8,83.1,561.3,5.2,67.79328586
2023-11-29,18,31.9,566.4,6,84.89704353
2023-11-30,19.8,46.6,1260.2,6.4,82.00480805
2023-12-01,23.8,65.9,504.2,7.8,85.90967736
2023-12-02,19.3,69.8,887.4,6.1,100
2023-12-03,27.8,55.5,1788,6.6,51.50134786
2023-12-04,19.5,75.4,1499.3,6.8,77.96510958
2023-12-05,29.6,46.1,1761.7,5.2,32.05720636
2023-12-06,30.3,34.3,1460.5,6.6,50.10522533
2023-12-07,28.9,30.8,1946.9,7.9,17.56154899
2023-12-08,34.2,49.2,510.5,6.3,50.18324198
2023-12-09,19.5,78.9,637.6,5.9,67.11173395
2023-12-10,29,66.8,1722.4,5.5,47.48233741
2023-12-11,23.3,38,1264.7,6.8,84.92585491
2023-12-12,29.5,79.1,1003.2,5.3,36.04311865
2023-12-13,27.7,69.6,505.3,6,73.48319362
2023-12-14,24.9,53.9,1368.4,5.7,90.24894351
2023-12-15,29.6,48.8,1335.3,5.7,45.82555905
2023-12-16,24.1,34.3,884.8,5.8,74.91074874
2023-12-17,28.6,56.8,1567,8,39.37069804
2023-12-18,16.3,64.9,1736.3,7.5,73.14184054
2023-12-19,34.6,45.9,1972.9,5.4,24.22732803
2023-12-20,13.9,72.6,1329.2,6.4,51.39166233
2023-12-21,16.5,64.1,547.7,5.3,94.91349787
2023-12-22,32.7,44.5,1785,7.1,20.9522059
2023-12-23,29.8,51.5,574,5.5,61.48231768
2023-12-24,11.5,58.2,1084.1,6.9,68.83641747
2023-12-25,18.5,54.7,1730.4,6.3,76.14201637
2023-12-26,28.5,76.9,1820.6,6.5,23.72346516
2023-12-27,25,83.8,690.6,5.1,69.86441938
2023-12-28,34,53.7,1810.5,6.1,48.1655682
2023-12-29,12.6,86.1,630.1,7,53.19333153
2023-12-30,31.6,87,1979.2,6.4,27.42733543
2023-12-31,27.4,42.1,638,6.4,48.0994361
2024-01-01,14.1,34.8,1143.2,6.7,56.22643431
2024-01-02,31,50,975.9,7,68.27759806
2024-01-03,15.8,37,1320.1,6.1,77.18824527
2024-01-04,27.7,60.6,1472.1,5.7,60.69705018
2024-01-05,30.6,60,1768.3,7.1,38.41776246
2024-01-06,20.2,63.8,1370.3,6.1,100
2024-01-07,20.4,45.4,1285.7,6.1,83.71344426
2024-01-08,12.4,39.4,654.4,5.1,46.90708967
2024-01-09,26.6,73.5,529.6,7.1,42.04204796
2024-01-10,23.2,55.3,1880.5,7,78.23538136
2024-01-11,27.7,48.1,886.5,7.3,31.6823371
2024-01-12,22.2,62.4,1231.6,6.7,100
2024-01-13,19.9,31.1,892.4,5.3,75.76431811
2024-01-14,14.9,82.3,1797.7,6.8,19.92916129
2024-01-15,31.2,54.3,1698.7,6.4,55.34616601
2024-01-16,11.9,50.8,946.8,7.7,54.86195596
2024-01-17,28.9,51.9,1743.7,5.2,42.73222114
2024-01-18,19.6,64.8,1072.1,7.1,92.47781489
2024-01-19,20.4,69.1,1226.1,6.8,100
2024-01-20,32.2,81.2,702.9,6.4,54.36512645
2024-01-21,25.5,64.5,1161.2,7.4,55.18232247
2024-01-22,25.7,36.8,681.5,5.2,47.31738514
2024-01-23,29.7,46.7,827,5.7,48.62785264
2024-01-24,21.9,39.8,542.7,5,71.61884839
2024-01-25,26.1,85.3,1556.8,7.1,22.16821698
2024-01-26,15.5,35.9,1580.8,6.5,62.48319345
2024-01-27,19.3,87.3,1939.9,7,55.78466528
2024-01-28,18.3,50.3,592.2,5.1,88.31095009
2024-01-29,17.1,59.5,832.4,6,100
2024-01-30,25.1,37.9,1847.2,5.7,19.29347888
2024-01-31,11.9,64.1,1200.1,7.4,65.60765727
2024-02-01,12.8,62.5,1272.9,5.3,58.02511971
2024-02-02,30,79.9,597.7,6.1,47.51387284
2024-02-03,11.1,79.9,1540.3,6.3,33.81665376
2024-02-04,24.8,67.5,1242.6,7.2,91.38730497
2024-02-05,32,31.2,1337.4,6.2,45.17856734
2024-02-06,13,72.9,726.7,5.9,36.15051568
2024-02-07,17.1,77.9,705.9,5,70.42568512
2024-02-08,32.8,37.2,618.3,6.5,50.32171824
2024-02-09,32.3,48.9,1711.1,6.7,31.56153312
2024-02-10,24.4,85.7,530.3,5.5,68.40839921
2024-02-11,20.9,45.3,1125.9,6.5,78.8323581
2024-02-12,28.7,69.9,1245.7,6.1,65.99616429
2024-02-13,22.1,81.9,625.9,7.1,71.65177097
2024-02-14,19.6,74,1553.2,5.6,56.66183108
2024-02-15,22.4,81.1,1089.2,6.8,76.47512823
2024-02-16,11.1,43.6,1766.8,7.9,14.22034672
2024-02-17,20.5,83.9,1865,6.7,60.03338832
2024-02-18,29.5,79,670.3,7,49.2197631
2024-02-19,18.8,63.3,1848.6,6.6,78.80787598
2024-02-20,30.2,56.7,1852.2,5.9,34.64400277
2024-02-21,14.2,77.5,1668.9,7,30.3155333
2024-02-22,11.7,42.6,1411.3,6.9,49.16102276
2024-02-23,20.5,76.2,1548.5,5.4,43.78438059
2024-02-24,26.7,53.4,648.4,7.2,60.84431898
2024-02-25,30.1,71.4,1639.2,5.1,22.73724828
2024-02-26,22.5,67.5,1766.2,6.1,83.0996092
2024-02-27,21,42.6,1076.5,5.1,68.19784325
2024-02-28,18.2,74.2,1595,6.1,68.38409181
2024-02-29,12.5,78.7,1862.7,6.4,29.0434828
2024-03-01,30.6,38.9,671.2,7.7,36.85819941
2024-03-02,30.4,41.2,1068,5.9,42.19374668
2024-03-03,31.3,55.3,1420.1,7.1,52.78351754
2024-03-04,23.9,86.1,1244,7.6,75.39382322
2024-03-05,16.1,51.8,1798.8,7,76.55827948
2024-03-06,25.1,42.2,1889.5,6.6,30.44365125
2024-03-07,15.7,62.2,871.4,7.5,92.04794524
2024-03-08,24.1,82.4,1924,7.2,53.80065001
2024-03-09,26.3,30.6,614.2,6.5,46.31120628
2024-03-10,11.3,89.4,1127,5.8,45.88926125
2024-03-11,21.4,48.1,699.3,7.9,71.14841103
2024-03-12,32.9,71.4,1793.6,5.3,20.71072387
2024-03-13,16.7,78.8,1676.7,5.2,51.27436749
2024-03-14,23.5,73.9,850.4,7.7,66.42648001
2024-03-15,31.1,34.4,1157.7,7.5,38.5094079
2024-03-16,20.4,52.9,1456.2,5.7,93.15649779
2024-03-17,23.4,32.4,1651.9,7.1,42.62247142
2024-03-18,16.5,43.9,1906.8,7.9,49.34659749
2024-03-19,24.7,39.5,527.9,7,83.94695802
2024-03-20,12.3,84.4,1998.1,7.4,12.88831348
2024-03-21,22.4,69.5,577,6.9,100
2024-03-22,21.9,56.1,1209.1,6.4,100
2024-03-23,28.5,30.6,1862,7,30.34425984
2024-03-24,18.7,74.3,1072.6,6.6,77.95316668
2024-03-25,27.6,32.5,1338.4,5,41.48030451
2024-03-26,23.4,45.1,1030.7,8,71.31160654
2024-03-27,23.5,86.7,883.9,7.8,71.8889081
2024-03-28,18.3,80.3,1066.9,7.5,71.00755491
2024-03-29,11.6,62.5,1339.3,8,59.90601492
2024-03-30,12.2,83.8,1110.8,6.1,52.49493507
2024-03-31,33.9,83.4,1033.2,7.7,38.3389061
2024-04-01,29,58.5,1551,6.3,52.54433182
2024-04-02,28.4,84,863.7,5.9,47.31757223
2024-04-03,32.8,52.3,1756.5,6.9,44.34966037
2024-04-04,27.1,47.3,649.6,6.1,46.38663387
2024-04-05,33.9,70.6,1655.8,5.4,29.1872798
2024-04-06,32.4,82.3,1304.1,7.5,47.85778899
2024-04-07,24.9,33.4,1934.1,5.6,43.93224074
2024-04-08,20.9,60.2,1108.1,6.1,100
2024-04-09,17.1,61.1,1960.5,6.1,78.07004682
2024-04-10,11.9,84.7,1824.3,7.3,16.19522811
2024-04-11,33.5,68.7,596,5.2,56.77100389
2024-04-12,34.5,77.4,1533,6.7,25.928033
2024-04-13,11.8,87.9,659.1,5.6,39.95564061
2024-04-14,24,66.5,965.3,7.9,89.35681871
2024-04-15,14.9,42.8,983.7,7.5,39.39742102
2024-04-16,22.3,71.7,1432.2,6.2,75.24014175
2024-04-17,15.2,40.2,1612.5,6.2,64.26168018
2024-04-18,10.3,49.8,1922.7,7.2,20.12847485
2024-04-19,32.6,36,1518.7,6.4,35.08544834
2024-04-20,11.6,78.6,1943.8,5,28.20692422
2024-04-21,21.6,79.2,547.1,5.5,70.65964122
2024-04-22,10.1,68.2,1356.9,5.4,65.52323582
2024-04-23,19.1,53.8,649.9,7.4,89.6678049
2024-04-24,18.9,42.7,1045.8,6.6,76.78926754
2024-04-25,10.8,63.4,1731.4,6.4,48.58240619
2024-04-26,11,39.7,1979.1,7.7,17.65028374
2024-04-27,28.4,70.1,592.3,7.6,35.96748839
2024-04-28,11.7,64.3,842.4,7,73.59364653
2024-04-29,13.8,55.4,1027.1,7.5,64.08241972
2024-04-30,14.8,61.3,1292.8,6.9,70.74366963
2024-05-01,26.1,67.1,1399.7,6.3,67.33933129
2024-05-02,34.7,63,1016.3,7.6,61.29599363
2024-05-03,25.8,37.6,855.6,5.2,41.54178446
2024-05-04,22.2,50.6,1323.2,7.1,85.32577396
2024-05-05,34.4,36.6,1821.2,6.8,30.08673223
2024-05-06,11.6,55,1360.4,5.9,69.82458494
2024-05-07,18.7,34.9,1569.6,6.4,58.12052153
2024-05-08,20.8,86.4,1636.8,7.9,43.86104618
2024-05-09,18.8,75.4,1351.2,7.6,62.17388301
2024-05-10,14.8,30.5,1703.8,6.1,29.63615843
2024-05-11,26.7,44.8,1473.8,6.2,48.6837144
2024-05-12,32.6,39.8,1243.8,7.8,39.72101347
2024-05-13,24.5,40.5,962.3,6.7,81.06474068
2024-05-14,16.6,74.6,566.2,6.3,82.113688
2024-05-15,30.1,62.9,835.9,6.3,65.16768847
2024-05-16,26.3,57.6,1540.8,6.5,48.04407168
2024-05-17,16.4,65.1,1415.7,7.8,90.61193789
2024-05-18,26.8,64.9,712.5,6,70.85448917
2024-05-19,31.6,42,1202.3,5.1,37.13737978
2024-05-20,15.6,51.1,772.6,7.7,87.96473588
2024-05-21,26.1,77.4,1896.6,5.5,20.86908856
2024-05-22,26.7,59.8,1476,5.5,67.10063345
2024-05-23,33.6,39.8,754.4,5.8,44.07549689
2024-05-24,21.5,62.7,1119.1,7.6,94.39554722
2024-05-25,21.4,34.3,1846.6,5.4,54.81757717
2024-05-26,31.1,82.9,952.5,5.9,46.28624527
2024-05-27,19.6,53.3,592.6,6.4,100
2024-05-28,20.9,42.4,796.9,6.3,79.96582242
2024-05-29,21.7,86.5,1843.5,5.8,49.60082015
2024-05-30,29.9,34.4,847.2,6.5,56.78419278
2024-05-31,33.1,40.1,685.2,7.2,41.94799556
2024-06-01,16.7,81.3,1628.7,6.6,61.03152531
2024-06-02,19.7,84.1,501.9,6.1,84.26431563
2024-06-03,10.6,69,1290.5,6,67.10290803
2024-06-04,34.8,55.5,1115.8,7.4,54.4026845
2024-06-05,30.3,78.9,1592.3,7.9,17.31851543
2024-06-06,34.7,36.2,1323.9,6.6,54.15823851
2024-06-07,24.4,83,1017.8,6.9,84.53697419
2024-06-08,25.7,30.4,1404.5,7.1,44.73902779
2024-06-09,17.2,38,868.5,5,72.20356381
2024-06-10,18.1,89.4,1341.3,5.9,71.47251967
2024-06-11,27.9,44.3,1544,5.6,23.52947663
2024-06-12,24.4,67,510.6,5.3,94.2383526
2024-06-13,11.6,32.7,815.9,6.9,54.78557349
2024-06-14,10.8,74,1284.3,7,48.40504213
2024-06-15,18.3,73.3,1161,7.4,69.6612913
2024-06-16,14.7,89.2,543.6,7.6,37.37300246
2024-06-17,17.2,47.9,1681.5,7.6,45.50150248
2024-06-18,17.1,35.7,647.6,6.3,80.69098999
2024-06-19,20.6,32,697.2,6.8,76.28800947
2024-06-20,13.1,47.4,1902.6,7.7,19.42305732
2024-06-21,31.6,41.9,1851.9,6.7,23.69526772
2024-06-22,18.2,66.3,1716.4,5.1,70.24175115
2024-06-23,29.4,87.2,1921.8,5.5,14.48982046
2024-06-24,28.7,49.7,936.8,7.5,38.07665859
2024-06-25,16.7,60.2,1537.9,6.4,81.08555669
2024-06-26,25.9,81.3,1848,7.2,16.92668592
2024-06-27,12.1,68.1,1275,6.2,74.10635209
2024-06-28,17.7,60.5,1442,6.6,100
2024-06-29,33.5,61.6,1478.4,6.2,73.77926898
2024-06-30,10.5,85.6,1417,7.7,38.78895133
2024-07-01,15.4,48.5,1685.1,8,55.80855935
2024-07-02,16.3,58.4,1082.4,7.2,89.50024661
2024-07-03,13.8,73.5,630.9,5.7,35.63233112
2024-07-04,26.6,59.6,1361.1,5.5,63.79933342
2024-07-05,23.7,66.3,1319.6,5.8,94.56003206
2024-07-06,23.6,34,1755.2,5.5,53.4898841
2024-07-07,33.3,79,887.2,5.9,49.80621677
2024-07-08,17.4,35.6,1273.3,6.5,79.43995767
2024-07-09,24.5,76.2,1785.6,5.4,52.83985519
2024-07-10,27.4,50.4,1079.7,5.5,64.31488919
2024-07-11,11.1,65.6,1266.9,7,67.21203428
2024-07-12,34.4,79.6,538.5,5.3,37.36269543
2024-07-13,28,67.8,1945.6,5.3,42.47157965
2024-07-14,28.4,52.4,1622.9,6.5,42.9841486
2024-07-15,14.7,53.5,705,5.4,60.88633273
2024-07-16,29.1,46.7,1192.7,5.2,43.98247562
2024-07-17,19,64.8,1225.9,6.1,100
2024-07-18,14.2,62.2,1637.4,6.5,54.89005439
2024-07-19,15.1,79.8,1121.4,8,77.47482469
2024-07-20,14,67.1,1198.3,5.8,64.51985661
2024-07-21,23.4,31.6,1583.8,7.5,48.85847579
2024-07-22,22.9,86.6,791,6.4,78.43939627
2024-07-23,25.4,38,884.1,6.3,41.11409252
2024-07-24,17,85.8,622.3,7,83.05441718
2024-07-25,20.6,81,1827.5,6.3,57.42787277
2024-07-26,23.9,40.1,1510.1,6.4,65.56722189
2024-07-27,24.4,56.7,661.3,7.3,92.46903209
2024-07-28,20,86.3,1752,7.8,55.2431802
2024-07-29,17.8,45.5,996.6,5.3,65.06046959
2024-07-30,21.1,40.1,932,5.3,63.1375584
2024-07-31,26,43.2,888.5,6.5,49.96590321
2024-08-01,24.3,77.9,1346.3,6.3,75.217682
2024-08-02,28.1,80.6,1743.3,6.9,29.5150023
2024-08-03,31.9,40.8,1527.7,6.9,33.55620654
2024-08-04,14.3,31.4,1350.5,5,38.19389375
2024-08-05,11.7,54.3,711.3,5.2,57.23832686
2024-08-06,20.9,81.6,1737.9,6.8,57.41218717
2024-08-07,21.1,67.9,767.7,6.3,100
2024-08-08,27.8,63.1,614.8,6.2,70.64624075
2024-08-09,28.2,45.9,1225.3,5.1,39.37568355
2024-08-10,28,55.8,1819.6,6.5,48.05357015
2024-08-11,16.3,51.9,1504.6,7,83.70029479
2024-08-12,20,76,1800.6,6.9,60.84721695
2024-08-13,26.3,68.6,1738,5.8,40.13951783
2024-08-14,26.1,80.2,1163.7,5.1,39.38133719
2024-08-15,20.9,84.6,1796.8,7.7,49.62506931
2024-08-16,30.5,51.2,1699.4,7.4,41.06284216
2024-08-17,12.1,50.3,1798.7,7.7,37.31260827
2024-08-18,33.3,62.6,1376.3,6,69.5182964
2024-08-19,22.1,77.2,521.1,6.5,78.56354331
2024-08-20,23.2,87.3,1218.3,7.1,65.6911018
2024-08-21,31.6,39.3,504.4,7.9,36.98370723
2024-08-22,32.6,30.2,1629.6,6.6,38.07919749
2024-08-23,17.5,86.6,1191.6,5.4,70.47973647
2024-08-24,17.7,37,983.6,5.2,66.9437997
2024-08-25,18.7,59.5,779.8,7.2,93.5752285
2024-08-26,25.8,33.6,1557.8,8,22.71576698
2024-08-27,22.3,49.2,1411,6.1,77.45118132
2024-08-28,29.8,79,1207.4,6.4,49.03067826
2024-08-29,33.2,43.3,1758.2,5.3,20.20579382
2024-08-30,14.2,67.9,1642.3,6.7,54.37278631
2024-08-31,19.8,50,963,6.6,100
2024-09-01,28.1,66.1,1180.8,7.6,61.5707685
2024-09-02,33.8,50.3,1224,6.8,71.93665694
2024-09-03,25.6,74.6,864.6,7.7,42.00150088
2024-09-04,16.2,49.7,798,7.2,74.6431732
2024-09-05,21.1,44.5,1464.3,5.3,70.10325947
2024-09-06,20.1,74.2,1649.3,7.8,55.85128929
2024-09-07,26,69.5,1173.8,6.7,72.20564574
2024-09-08,23.1,36.4,1118.7,6.4,75.96101083
2024-09-09,15.9,30.4,1123.8,5.8,69.52397149
2024-09-10,31.4,52.2,823.9,5.8,56.34251109
2024-09-11,29.7,52.3,748.4,5.6,55.69356817
2024-09-12,10.5,54,876.7,7.4,54.36582781
2024-09-13,24,45.8,552.7,7.6,70.21777056
2024-09-14,11.2,74.2,684.9,6.9,48.02255827
2024-09-15,22.5,72.8,1378.7,5.9,64.84310016
2024-09-16,12.1,34.5,1209.2,6.5,56.8381446
2024-09-17,20.6,77.3,1882.3,7,62.94399556
2024-09-18,21.4,39.9,1515.1,6.6,63.44618761
2024-09-19,29.1,34.9,1274,6.3,46.7612094
2024-09-20,10.9,34.6,1768.7,8,22.38925005
2024-09-21,25.4,69.2,1320.1,6.9,73.831239
2024-09-22,22.9,61,1823.2,6,76.55001279
2024-09-23,10.5,55,754.7,5.6,66.17564013
2024-09-24,29.5,70.5,1211.1,6.8,50.46343692
2024-09-25,17.7,58.3,769.3,6.5,100
2024-09-26,33.3,46,1111.4,5.3,37.73332632
2024-09-27,20.8,86.2,1924.3,6.6,59.83332382
2024-09-28,12.1,56.5,1030,6.7,66.59310484
2024-09-29,22.4,51.9,1120.7,6.2,100
2024-09-30,28.6,51.3,1778.7,5.7,41.9916091
2024-10-01,15.5,64.3,1054.9,5.6,92.71261328
2024-10-02,34.3,44.1,1593.3,6.9,26.72375803
2024-10-03,34.4,76.5,1733.3,6.9,29.22649428
2024-10-04,17.4,59.1,1498.3,7.7,88.22104518
2024-10-05,11,53.2,780.8,6.4,70.91986377
2024-10-06,10.9,36.2,1524.7,5.1,18.5926486
2024-10-07,32.3,43.5,1550.5,6.3,25.15281266
2024-10-08,29.3,48,992.8,6.1,40.8644396
2024-10-09,22.2,32.7,1038.9,6.1,82.12000287
2024-10-10,19.8,72.7,683,6.6,79.18573323
2024-10-11,16.4,71.6,897.9,5.1,70.24536938
2024-10-12,30.9,87.7,513.8,5.2,35.59599242
2024-10-13,30.1,30.6,1290.5,5.6,43.79257822
2024-10-14,21.7,76,1169.5,7.4,65.6078719
2024-10-15,20.9,51.4,1826.3,7.5,70.43627405
2024-10-16,13.5,68.7,1100.3,5.7,61.48144985
2024-10-17,30.2,62.4,1287.9,7.8,55.58630761
2024-10-18,34.6,59.8,1609.4,5.1,41.7775385
2024-10-19,23.2,71.4,1721.1,7.9,49.27636966
2024-10-20,22.8,39.5,852.3,5.6,69.05628014
2024-10-21,17.9,80.6,1182.8,6,76.55641753
2024-10-22,12.3,85.7,1295.4,5.8,46.97536752
2024-10-23,14.7,53,1242.2,7.9,56.2439841
2024-10-24,17.9,62.5,752.8,6.2,100
2024-10-25,31.1,88.9,1097.8,5.8,39.41971322
2024-10-26,21.8,58.7,1729.4,5.5,71.79641118
2024-10-27,17.1,73,507.1,7.4,67.53920445
2024-10-28,25.6,51.1,1648.4,5.4,40.22535777
2024-10-29,30.4,76.1,950.5,7.7,38.04896897
2024-10-30,30.1,83.5,1496.8,6.5,47.18790183
2024-10-31,34.6,77,1436.5,6,44.89344898
2024-11-01,11.6,65.1,975.6,6.1,74.1184586
2024-11-02,31.6,84.8,1587.3,6.5,36.65796856
2024-11-03,17.9,74.7,1759.1,8,47.9339387
2024-11-04,10.1,37.9,623.8,6.2,55.527915
2024-11-05,31.2,76.2,573.4,5.3,34.94782061
2024-11-06,33.6,48.3,1276.4,7.4,51.59163118
2024-11-07,28.3,35.5,1793,5.1,21.2247625
2024-11-08,13.8,40.5,1948.5,7.8,19.42964694
2024-11-09,28.1,51.3,1885.4,5.4,31.84987484
2024-11-10,21.5,48.2,1165.2,6,77.81755485
2024-11-11,12.6,67.1,1795,6.8,46.98717241
2024-11-12,11.1,86.3,1302.2,5,46.65948665
2024-11-13,27.2,60.8,1672.7,7.9,36.34941596
2024-11-14,28.9,51.9,1496.6,6.1,67.70926891
2024-11-15,30.1,74.4,1679.5,5.6,16.78422707
2024-11-16,19.1,58.1,968,5.6,89.01164993
2024-11-17,26.8,41.7,1346,5,43.34115422
2024-11-18,29.2,35.2,1420.5,6.7,55.13044063
2024-11-19,14.4,84.1,1875.3,7.2,12.61050736
2024-11-20,21.5,32,1459.7,7.2,69.26136326
2024-11-21,16.4,86.9,1170.3,7.1,73.02150986
2024-11-22,24.2,87.7,923.2,6.9,81.60179041
2024-11-23,24.9,74.2,901.8,5,63.91299171
2024-11-24,25.6,32.2,835.2,5.3,37.93539612
2024-11-25,11.4,48,585.7,5.7,37.66913603
2024-11-26,30.8,31.5,658.8,6.3,44.01555109
2024-11-27,34.9,57.3,1181.6,7.9,67.79697083
2024-11-28,11.8,34.3,1781.8,7.5,11.66830566
